cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
endothelial,HALLMARK_ANGIOGENESIS,Angiogenesis,0.0956108829568788,0.351712283485389,-0.507184064510824,-1.37243532723393,19,"SPP1,LUM,TNFRSF21,PF4,VCAN,PDGFA,FGFR1,S100A4"
endothelial,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,0.105513685045617,0.351712283485389,-0.529883981974697,-1.35883123569029,15,"KRT19,AZGP1,NDRG1,KRT8,TSC22D1,KLK3,CCND1"
endothelial,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.201834862385321,0.570824524312896,0.229685730990695,1.11589454912645,101,"CCL19,ITK,CD28,SRGN,ICAM1,CD86,HLA-E,IL16,GZMA,IFNGR1,IL6,CD74"
endothelial,HALLMARK_APOPTOSIS,Apoptosis,0.209302325581395,0.570824524312896,0.247813790531866,1.12116009388599,67,"GPX3,CLU,LMNA,IFNGR1,IL6,GADD45B,IFNB1,IFITM3,JUN,CDKN1A,CD69,GSN,CAV1,TNFSF10,CD14,RARA,GPX1,DCN"
endothelial,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,0.261608154020385,0.610665137614679,-0.413419220789624,-1.16783603417431,23,"EGF,UBE2C,EFNA5,STMN1,CDKN3,CENPF,PTTG1,CHEK1,TOP2A,EZH2,CCND1"
endothelial,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,0.294736842105263,0.610665137614679,-0.371277567926887,-1.13553315642956,34,"PTGES,KRT19,DHRS2,CDH1,CELSR2,SERPINA1,SERPINA3,SFN,CD44,AREG,CXCL14,IL17RB,AGR2"
endothelial,HALLMARK_P53_PATHWAY,P53 Pathway,0.325414826310135,0.610665137614679,-0.353920839755119,-1.10530387883966,38,"KRT17,ACVR1B,DDIT3,NDRG1,LIF,RXRA,SFN,NOTCH1,S100A10,BMP2,SERPINB5,TSC22D1,IL1A,INHBB,PDGFA,FGF13,S100A4"
endothelial,HALLMARK_APICAL_JUNCTION,Apical Junction,0.325538461538462,0.610665137614679,0.267808667381037,1.07235164290773,38,"VCAM1,ICAM1,CD86,CD274,MAPK13,ITGA3"
endothelial,HALLMARK_MYOGENESIS,Myogenesis,0.325688073394495,0.610665137614679,0.278242189910532,1.08202655443807,33,"GPX3,CLU,IGFBP7,GADD45B,CDKN1A,GSN"
endothelial,HALLMARK_E2F_TARGETS,E2f Targets,0.351574599896748,0.620425764523672,-0.410166642728573,-1.09577168009893,18,"STMN1,CDKN3,CHEK2,PTTG1,DNMT1,CHEK1,TOP2A,EZH2,TUBB,MKI67,HMGB2,MYC"
endothelial,HALLMARK_HYPOXIA,Hypoxia,0.384053560559951,0.640089267599919,0.262465899418646,1.0450718908987,37,"DUSP1,FOS,IL6,MT2A,JUN,TGFB3,CDKN1A,ZFP36,CAV1,ANXA2,DCN,BCL2,VHL"
endothelial,HALLMARK_ADIPOGENESIS,Adipogenesis,0.405891553701773,0.640881400581746,-0.398191101941133,-1.05011086804314,17,"FABP4,ADIPOQ,LEP,ANGPT1"
endothelial,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,0.471506016131165,0.707259024196747,-0.393358786767653,-1.00872686187115,15,"EGFR,DDIT3,SFN,FASLG"
endothelial,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.559981840880717,0.799974058401025,-0.283489628468126,-0.951223349387713,58,"SPP1,CASP3,CXCL10,ETV4,SPRY4,EOMES,NDRG1,IRF4,TNFRSF21,LIF,TLR7"
