ligand,auroc,aupr,activity,pearson,cell_type
VSIR,0.658353936006306,0.0932642909198488,0.0268786217944537,0.0897404868796416,fibroblast
S100A4,0.647300154072166,0.0932007987454916,0.0268151296200965,0.0681904196917282,fibroblast
CD52,0.65880182020137,0.0931995375067193,0.0268138683813241,0.0748654528505891,fibroblast
IL24,0.583413952488442,0.0931815735709592,0.0267959044455641,0.018841379270123,fibroblast
SCGB3A1,0.638432047009926,0.0931526879766423,0.0267670188512471,0.087246872143068,fibroblast
LGALS1,0.660127557418755,0.0931131989349779,0.0267275298095827,0.0342227624061025,fibroblast
COL5A1,0.653086817872371,0.0930185502782168,0.0266328811528216,0.0763309974356177,fibroblast
TNFSF10,0.652191049482247,0.0929808190664482,0.0265951499410531,0.0282167633309333,fibroblast
PPBP,0.650578666380021,0.0929435406948308,0.0265578715694357,0.0274559647781142,fibroblast
VCAM1,0.660736679924039,0.0928957459142047,0.0265100767888096,0.0336868339610005,fibroblast
FGF1,0.641137267548104,0.0928146221396762,0.0264289530142811,0.0681545320279122,fibroblast
C1QA,0.656024938191982,0.0926965169212519,0.0263108477958567,0.0514979585063705,fibroblast
AZGP1,0.654520047296573,0.092635680250075,0.0262500111246798,0.0853185492951153,fibroblast
COL5A3,0.654036332365903,0.0925387267462886,0.0261530576208935,0.0814635245200708,fibroblast
CD9,0.654502131928769,0.0925324857339059,0.0261468166085108,0.00204094785421725,fibroblast
CALM3,0.662707370382316,0.092479555118989,0.0260938859935938,0.0593897429804075,fibroblast
VCAN,0.656831129743094,0.0924710616995867,0.0260853925741915,0.0771680764848109,fibroblast
COL4A2,0.649969543874735,0.0924359212909049,0.0260502521655097,0.0826650111211506,fibroblast
MMP14,0.65435880898635,0.0923430153369799,0.0259573462115847,0.0578878197852604,fibroblast
BMP6,0.653570532803039,0.0921951060342809,0.0258094369088858,0.0138762033941116,fibroblast
CALM1,0.659249704396432,0.0921659875688077,0.0257803184434125,0.0438764218345285,fibroblast
WNT7A,0.641119352180302,0.0920340609085163,0.0256483917831211,0.0463464402996212,fibroblast
LEFTY2,0.652191049482245,0.0919922299323136,0.0256065608069185,0.0902211965191992,fibroblast
COL6A3,0.646547708624459,0.0919640423867608,0.0255783732613656,0.0837906812654013,fibroblast
CTSG,0.649664982622093,0.0917999552901924,0.0254142861647972,0.0443174323486326,fibroblast
CD300A,0.654215486043928,0.0917085845552092,0.0253229154298141,0.0808868943515977,fibroblast
COL1A1,0.653463040596222,0.0916573831759878,0.0252717140505926,0.053658447064629,fibroblast
DCN,0.654305062882942,0.0916095028259749,0.0252238337005798,0.0298930417113502,fibroblast
CCL26,0.653695940377656,0.0915690476440601,0.025183378518665,0.0417760499203095,fibroblast
EZR,0.65280017198753,0.0914614636200934,0.0250757944946983,0.0550251707888837,fibroblast
VWF,0.655362069583289,0.0914272774934565,0.0250416083680614,0.0313796801669739,fibroblast
CDH5,0.646906015980508,0.0914261666526416,0.0250404975272465,0.0627399681653295,fibroblast
BMP5,0.653875094055682,0.0914066742658063,0.0250210051404111,0.0906616823438736,fibroblast
AREG,0.644182880074529,0.0913868625543209,0.0250011934289258,0.0396359128654175,fibroblast
GDF3,0.654269232147334,0.0913434012053021,0.024957732079907,0.0758262464152969,fibroblast
TGFB3,0.637464617148588,0.0913123687111749,0.0249266995857797,0.0379486508692806,fibroblast
INHBB,0.638342470170912,0.0911983673210425,0.0248126981956474,0.0815431400408989,fibroblast
IAPP,0.636120964563404,0.0909573376120807,0.0245716684866856,0.0537326151726912,fibroblast
EFNA5,0.65572037693934,0.0908823716469294,0.0244967025215343,0.0488401274919792,fibroblast
ANXA1,0.652818087355334,0.0908568694816399,0.0244712003562448,0.0357890757428531,fibroblast
SELL,0.652853918090938,0.0908048698891639,0.0244192007637688,0.0283270325784156,fibroblast
BMP3,0.642283851087461,0.0907555527507867,0.0243698836253915,0.0740319425490142,fibroblast
COL5A2,0.651850657493997,0.090692329633787,0.0243066605083919,0.0605473952988992,fibroblast
CD58,0.652119388011036,0.0906910202146626,0.0243053510892674,0.0300295395950986,fibroblast
ITGB1,0.651384857931133,0.090641643096353,0.0242559739709579,0.0374812389344584,fibroblast
GDF6,0.639883191801926,0.0906217417100714,0.0242360725846763,0.0858725653372549,fibroblast
SST,0.652943494929952,0.0906164629110886,0.0242307937856934,0.00467025825619316,fibroblast
CD55,0.649629151886487,0.0906022825000602,0.0242166133746651,0.0489569468984788,fibroblast
ADIPOQ,0.650524920276614,0.0905997346338151,0.0242140655084199,0.0205438386088386,fibroblast
S100A8,0.647246407968758,0.0905625994907422,0.024176930365347,0.0284385399418587,fibroblast
COL9A3,0.645508617291913,0.0905020444105999,0.0241163752852048,0.0761767569104319,fibroblast
COL14A1,0.645221971407073,0.0904961502401549,0.0241104811147598,0.0726822320356074,fibroblast
CD2,0.646081909061594,0.0903467811876474,0.0239611120622523,0.0116765587674172,fibroblast
EFNA1,0.647425561646781,0.0901923108066098,0.0238066416812147,0.0765966498469061,fibroblast
COL4A1,0.634239850944141,0.0900922574503723,0.0237065883249771,0.0685419844147791,fibroblast
ESAM,0.63796624744706,0.0900741525022994,0.0236884833769043,0.0821374706351767,fibroblast
FGG,0.648464652979326,0.0899982140005741,0.0236125448751789,0.0740621641095111,fibroblast
EFNB1,0.650059120713748,0.0899954541784125,0.0236097850530174,0.0778722301596181,fibroblast
COL16A1,0.646511877888853,0.0899896041580622,0.023603935032667,0.0555819553980809,fibroblast
GCG,0.644326203016949,0.089935245182274,0.0235495760568788,0.00974335888722664,fibroblast
EFNB2,0.651331111827727,0.0899181581743526,0.0235324890489574,0.0786296790961991,fibroblast
ADM2,0.646314808843025,0.089888320746843,0.0235026516214478,0.0686895351233531,fibroblast
COL27A1,0.64283922748934,0.0898695668679422,0.023483897742547,0.0750493288567249,fibroblast
TNFSF8,0.653158479343581,0.0898550761132012,0.023469406987806,0.00534211960176126,fibroblast
COL17A1,0.647855530474041,0.0898486676819154,0.0234629985565203,0.0587965223003546,fibroblast
ITGB2,0.645920670751371,0.0898479363577035,0.0234622672323083,0.0442082609425954,fibroblast
THBS1,0.653212225446988,0.089831428029563,0.0234457589041678,0.0352219921079155,fibroblast
