ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score
MMP16,DDR1,fibroblast,5.77910973064341,0.19497969638793,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.000123012175160094,9.84097401280755e-05
IL15,IL2RA,fibroblast,8.2857832775964,0.279025322526551,0.000584882253064236,0.0461289038391806,0.0821501123209046,5,5,1,9.63956219802822e-05,9.63956219802822e-05
COL4A1,ITGB8,fibroblast,18.0402430593458,0.637938144862187,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,9.05739784024106e-05,9.05739784024106e-05
IL6,IL6R,fibroblast,9.99857763311535,0.34215163794472,0.000866411891220922,1.12528503690741e-05,0.0591592592194503,5,5,1,8.93710566977151e-05,8.93710566977151e-05
MMP16,MMP2,fibroblast,5.77910973064341,0.19497969638793,0.00227546522955516,8.33263214404787e-51,0.440899857046121,4,5,0.8,0.000111477927893299,8.91823423146389e-05
S100A8,CD68,fibroblast,8.03372663431609,0.304038239183743,0.00106015005916724,4.28052009055172e-12,0.182626266969055,5,5,1,8.72748457734017e-05,8.72748457734017e-05
TGFB3,ENG,fibroblast,9.64563217592363,0.328224104458078,0.000565648054965083,0.000235699279151855,0.151885808871739,5,5,1,8.66457288585407e-05,8.66457288585407e-05
TGFB1,ENG,fibroblast,15.1855858001475,0.519560590412491,0.000565648054965083,0.000235699279151855,0.151885808871739,5,5,1,8.52992797891512e-05,8.52992797891512e-05
ADM2,RAMP1,fibroblast,7.66523437629212,0.252844913505849,-0.000640517575499261,2.5469748990132e-16,0.274460698431807,5,5,1,7.93034941143208e-05,7.93034941143208e-05
TGFB2,ENG,fibroblast,12.3110815611634,0.431373148839713,0.000565648054965083,0.000235699279151855,0.151885808871739,4,5,0.8,9.65212652986125e-05,7.721701223889e-05
ICAM1,IL2RA,fibroblast,16.0763844095358,0.578051480260065,0.000584882253064236,0.0461289038391806,0.0821501123209046,5,5,1,7.5795836489904e-05,7.5795836489904e-05
CD80,CD28,fibroblast,6.32324775977216,0.215492154722822,0.00141840234954908,0.0080731559869445,0.0545481905048529,4,5,0.8,8.81837629988706e-05,7.05470103990965e-05
CD70,CD27,fibroblast,9.09587083585555,0.308313970482604,0.000764796389598034,1.90853673375493e-05,0.0639100572890356,5,5,1,6.75520371717121e-05,6.75520371717121e-05
