gene,sample_id,coef,se,n_cells,pval,dispersion
ADGRG6,Lung9,-0.000581367244624598,0.00078361460841612,21893,0.458145167961401,0.178055205677304
ADGRG6,Lung12,-0.000443727183047566,0.000481161730507328,16548,0.356424441749927,0.440657394863807
ADGRG6,Lung13,6.42112416889701e-06,0.000943933581372788,13609,0.994572418625829,0.191404921904078
ADGRL1,Lung5,0.000315981570761062,0.000394698454368639,37735,0.42338380927716,0.29080656140593
ADGRL1,Lung6,-0.00296943154339011,0.00194978728131371,3252,0.127770829741933,0.215838114284286
ADGRL1,Lung9,-0.00246884625524021,0.000685795598039028,21893,0.000318249120303787,0.216925305587765
ADGRL1,Lung12,0.000591807398843833,0.000522223312751037,16548,0.257111027156613,0.40197888644231
ADGRL1,Lung13,-0.00199592470395105,0.000843534849204892,13609,0.0179744642305729,0.226829667496451
ADGRL2,Lung5,-0.000566978980003636,0.000324052462697654,37735,0.0801784127102254,0.37782244791545
ADGRL2,Lung6,0.000711924423018921,0.00161511165609987,3252,0.659365322332443,0.250090781313324
ADGRL2,Lung9,-0.0017585539265683,0.000641050062407221,21893,0.00608362750169528,0.236785147499314
ADGRL2,Lung12,0.000927101889247369,0.000523692934301789,16548,0.0766745432207962,0.394353041996834
ADGRL2,Lung13,0.000966336908547941,0.000801310756097326,13609,0.227838597503373,0.247612456195232
ADGRL4,Lung5,0.000443765821595536,0.000440689641698111,37735,0.313944204127422,0.25626415964771
ADGRL4,Lung6,0.0011770037110497,0.00203753285170894,3252,0.563492866591619,0.177415249679761
ADGRL4,Lung9,0.00153512938115395,0.000871938148487413,21893,0.0783070849531842,0.149237160251749
ADGRL4,Lung12,-0.000768490221472474,0.000583943119701152,16548,0.188161928921567,0.348199830427207
ADGRL4,Lung13,0.00194898994857205,0.000944078221931822,13609,0.0389763077894962,0.19149692503877
ADGRV1,Lung5,-0.000321912207989871,0.000489899665892832,37735,0.51111775083744,0.214301025431171
ADGRV1,Lung6,0.0033625726099927,0.00283315813684241,3252,0.235281379198471,0.112031871209225
ADGRV1,Lung9,-0.000749880895752468,0.000906318739762072,21893,0.408014900327205,0.147313483090768
ADGRV1,Lung12,-0.000317656996925668,0.000586851298028851,16548,0.588307409260875,0.344169591696805
ADGRV1,Lung13,0.000199933211042114,0.0012671624876409,13609,0.874629963817102,0.122112995126503
ADIPOQ,Lung5,2.9687374375542e-05,0.000398025930797222,37735,0.940543689077698,0.290251152941858
ADIPOQ,Lung6,-0.00461304451079246,0.0028584182185382,3252,0.106561008411313,0.123993540267641
ADIPOQ,Lung9,0.000433613983759448,0.000752296284808373,21893,0.564353463174328,0.191602351075101
ADIPOQ,Lung12,-0.00102466621576528,0.000487716195423835,16548,0.035645558119422,0.436481836489501
ADIPOQ,Lung13,0.000685024268445196,0.000939034818126237,13609,0.465696930099341,0.191523258285229
ADIRF,Lung5,0.000645303833907548,0.000212190586437729,37735,0.00235674795179952,0.687823210036799
ADIRF,Lung6,0.00256426999838603,0.0012357193747124,3252,0.0379751139280931,0.374777429862209
ADIRF,Lung9,0.00166040945001253,0.000517661574742519,21893,0.00133885114344836,0.322768877544799
ADIRF,Lung12,-0.000630046655982064,0.000329291554054615,16548,0.0557045580051979,0.673229781540346
ADIRF,Lung13,0.00149541304928854,0.000615902731869227,13609,0.0151822606051696,0.346284861016845
ADM2,Lung5,-0.000461016780394987,0.000378361957411905,37735,0.223051354680084,0.302010740377434
ADM2,Lung6,-0.00151411456267887,0.00224595621207218,3252,0.500215053319047,0.167696956184988
ADM2,Lung9,2.05382920371234e-05,0.000795776935300134,21893,0.979409597968347,0.174474452394253
ADM2,Lung12,-0.000643494716098154,0.000513827178334275,16548,0.210440053775974,0.403408964249737
